# jonquera scenario; 30 hours of prediction; ignition from central polygon; single core execution; scenario.ini: landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 12:00:00;EndDate=2019-07-23 18:30:00;hoursOfSimulation=30
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 0 2 3 12 52 91 16 145 33 61 1.718865 0 0 0 0 0 0 0 0 0 0 0 690.34 492372 41640 100% 63440 0 2.466618 
0 1 15 10 1 66 84 17 155 48 32 0.046063 0 0 0 0 0 0 0 0 0 0 0 1157.20 801428 39272 100% 118474 0 2.571382 
0 2 10 2 14 33 89 20 17 30 53 0.598361 0 0 0 0 0 0 0 0 0 0 0 1712.82 1006216 39960 99% 169742 0 4.101992 
0 3 3 13 4 30 80 8 232 49 49 0.416760 0 0 0 0 0 0 0 0 0 0 0 138.85 181360 36688 99% 15255 0 1.236546 
0 4 6 14 13 48 69 11 70 41 41 1.418043 0 0 0 0 0 0 0 0 0 0 0 365.20 408428 37640 100% 37219 0 1.656496 
0 5 3 4 4 26 88 4 36 33 45 1.612439 0 0 0 0 0 0 0 0 0 0 0 44.73 108748 36144 99% 5352 0 1.072973 
0 6 13 3 4 62 77 9 18 32 85 1.266557 0 0 0 0 0 0 0 0 0 0 0 24.92 77652 36376 99% 3298 0 1.147490 
0 7 5 9 14 67 90 2 301 41 31 0.709687 0 0 0 0 0 0 0 0 0 0 0 102.36 161184 36568 99% 11085 0 1.047837 
0 8 9 9 1 55 62 26 188 49 70 1.382889 0 0 0 0 0 0 0 0 0 0 0 293.48 339196 39528 99% 30502 0 1.585077 
0 9 6 13 6 40 82 6 141 48 37 1.301231 0 0 0 0 0 0 0 0 0 0 0 133.31 203232 36704 99% 14238 0 1.141751 
0 10 12 13 0 62 95 19 144 42 52 0.184389 0 0 0 0 0 0 0 0 0 0 0 823.72 650948 39976 100% 82264 0 2.449908 
0 11 14 5 9 69 66 11 284 39 59 1.605369 0 0 0 0 0 0 0 0 0 0 0 220.15 256008 37528 99% 23047 0 1.358924 
0 12 4 4 1 25 90 6 152 46 80 0.704024 0 0 0 0 0 0 0 0 0 0 0 16.11 61204 36064 99% 2114 0 1.084161 
0 13 5 12 14 20 70 9 16 47 57 0.897691 0 0 0 0 0 0 0 0 0 0 0 103.42 181516 36704 100% 10936 0 1.332317 
0 14 6 4 4 46 71 12 183 41 53 0.057994 0 0 0 0 0 0 0 0 0 0 0 258.55 304204 37616 100% 26499 0 1.723887 
0 15 4 2 6 65 89 10 165 44 52 1.580846 0 0 0 0 0 0 0 0 0 0 0 192.13 258380 37432 100% 20115 0 1.549453 
0 16 4 5 14 52 74 10 13 45 69 0.752119 0 0 0 0 0 0 0 0 0 0 0 84.80 154672 36856 100% 9103 0 1.422686 
0 17 13 7 2 67 73 14 346 34 40 1.575520 0 0 0 0 0 0 0 0 0 0 0 868.64 616508 38888 100% 86575 0 2.246757 
0 18 9 13 6 30 64 2 149 30 76 0.371357 0 0 0 0 0 0 0 0 0 0 0 6.89 40312 35760 98% 1015 0 1.019482 
0 19 2 4 10 46 82 20 254 32 94 1.545643 0 0 0 0 0 0 0 0 0 0 0 279.89 308536 42176 100% 31202 0 1.623451 
0 20 11 12 5 65 81 7 125 32 60 1.476498 0 0 0 0 0 0 0 0 0 0 0 50.10 111376 36336 99% 6044 0 1.128647 
0 21 7 6 11 22 87 18 195 38 30 0.882177 0 0 0 0 0 0 0 0 0 0 0 1314.29 897992 39528 100% 129856 0 2.519940 
0 22 5 14 8 47 98 9 134 43 99 0.228958 0 0 0 0 0 0 0 0 0 0 0 11.34 46528 36144 97% 1565 0 1.052515 
0 23 12 3 13 43 91 9 6 41 56 0.799451 0 0 0 0 0 0 0 0 0 0 0 121.74 197304 36736 100% 12743 0 1.346723 
0 24 10 2 1 29 77 13 117 49 39 1.924100 0 0 0 0 0 0 0 0 0 0 0 737.44 614380 38888 100% 73627 0 2.325650 
0 25 2 11 1 66 92 14 300 40 75 0.650395 0 0 0 0 0 0 0 0 0 0 0 218.24 246992 38992 100% 23573 0 1.498445 
0 26 5 8 6 70 78 21 270 40 98 1.210671 0 0 0 0 0 0 0 0 0 0 0 148.10 217312 40448 99% 18146 0 1.316813 
0 27 11 5 13 21 89 12 219 31 99 0.680963 0 0 0 0 0 0 0 0 0 0 0 50.41 105992 36952 99% 6604 0 1.122173 
0 28 5 7 9 42 96 21 93 43 38 0.500854 0 0 0 0 0 0 0 0 0 0 0 2117.52 1224116 40984 100% 208579 0 3.744491 
