# date=2019-03-14;scenarioFile=scenario_jonquera.ini;landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 18:00:00;EndDate=2019-07-23 06:00:00;hoursOfSimulation=12
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 0 2 3 12 52 91 16 145 33 61 1.718865 0 0 0 0 0 0 0 0 0 0 0 7.40 39028 35824 92% 987 0 1.314004 
0 1 15 10 1 66 84 17 155 48 32 0.046063 0 0 0 0 0 0 0 0 0 0 0 108.06 163636 36248 99% 12393 0 2.236039 
0 2 10 2 14 33 89 20 17 30 53 0.598361 0 0 0 0 0 0 0 0 0 0 0 52.62 70824 35936 99% 6284 0 2.187431 
0 3 3 13 4 30 80 8 232 49 49 0.416760 0 0 0 0 0 0 0 0 0 0 0 10.38 31896 35640 99% 1750 0 1.128792 
0 4 6 14 13 48 69 11 70 41 41 1.418043 0 0 0 0 0 0 0 0 0 0 0 25.37 49628 35712 99% 3128 0 1.386567 
0 5 3 4 4 26 88 4 36 33 45 1.612439 0 0 0 0 0 0 0 0 0 0 0 6.35 25456 35584 99% 1335 0 1.046740 
0 6 13 3 4 62 77 9 18 32 85 1.266557 0 0 0 0 0 0 0 0 0 0 0 4.23 23704 35632 99% 778 0 1.001242 
0 7 5 9 14 67 90 2 301 41 31 0.709687 0 0 0 0 0 0 0 0 0 0 0 7.14 28720 35592 99% 992 0 1.037373 
0 8 9 9 1 55 62 26 188 49 70 1.382889 0 0 0 0 0 0 0 0 0 0 0 5.51 25516 35584 98% 1129 0 1.036059 
0 9 6 13 6 40 82 6 141 48 37 1.301231 0 0 0 0 0 0 0 0 0 0 0 10.62 32916 35632 99% 1708 0 1.109756 
0 10 12 13 0 62 95 19 144 42 52 0.184389 0 0 0 0 0 0 0 0 0 0 0 9.87 32644 35672 99% 1505 0 1.170758 
0 11 14 5 9 69 66 11 284 39 59 1.605369 0 0 0 0 0 0 0 0 0 0 0 7.39 27048 35608 99% 1233 0 1.073468 
0 12 4 4 1 25 90 6 152 46 80 0.704024 0 0 0 0 0 0 0 0 0 0 0 5.24 24288 35552 99% 1029 0 1.012972 
0 13 5 12 14 20 70 9 16 47 57 0.897691 0 0 0 0 0 0 0 0 0 0 0 7.32 27796 35616 99% 1176 0 1.115820 
0 14 6 4 4 46 71 12 183 41 53 0.057994 0 0 0 0 0 0 0 0 0 0 0 18.79 41780 35720 99% 2299 0 1.346675 
0 15 4 2 6 65 89 10 165 44 52 1.580846 0 0 0 0 0 0 0 0 0 0 0 16.33 39468 35704 99% 2054 0 1.302635 
0 16 4 5 14 52 74 10 13 45 69 0.752119 0 0 0 0 0 0 0 0 0 0 0 5.14 25700 35592 99% 716 0 1.061014 
0 17 13 7 2 67 73 14 346 34 40 1.575520 0 0 0 0 0 0 0 0 0 0 0 59.60 74908 35864 99% 6476 0 1.671372 
0 18 9 13 6 30 64 2 149 30 76 0.371357 0 0 0 0 0 0 0 0 0 0 0 5.07 23864 35616 99% 801 0 1.001603 
0 19 2 4 10 46 82 20 254 32 94 1.545643 0 0 0 0 0 0 0 0 0 0 0 6.43 26744 35616 99% 996 0 1.077687 
0 20 11 12 5 65 81 7 125 32 60 1.476498 0 0 0 0 0 0 0 0 0 0 0 4.54 24264 35584 99% 805 0 1.002966 
