# date=2019-03-22;scenarioFile=scenario_jonquera.ini;landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 18:00:00;EndDate=2019-07-23 18:00:00;hoursOfSimulation=24
generation individual p0 p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 runtime maxRSS outputs cpu csw exit error
0 0 2 3 12 52 91 16 145 33 61 1.718865 0 0 0 0 0 0 0 0 0 0 0 254.91 270008 37368 99% 37735 0 1.314004 
0 1 15 10 1 66 84 17 155 48 32 0.046063 0 0 0 0 0 0 0 0 0 0 0 1241.48 538628 38256 99% 134140 0 2.236039 
0 2 10 2 14 33 89 20 17 30 53 0.598361 0 0 0 0 0 0 0 0 0 0 0 1543.52 527776 37896 99% 153392 0 2.187431 
0 3 3 13 4 30 80 8 232 49 49 0.416760 0 0 0 0 0 0 0 0 0 0 0 116.35 112764 36320 99% 12386 0 1.128792 
0 4 6 14 13 48 69 11 70 41 41 1.418043 0 0 0 0 0 0 0 0 0 0 0 303.00 213544 36856 99% 31096 0 1.386567 
0 5 3 4 4 26 88 4 36 33 45 1.612439 0 0 0 0 0 0 0 0 0 0 0 24.17 45272 35808 99% 3159 0 1.046740 
0 6 13 3 4 62 77 9 18 32 85 1.266557 0 0 0 0 0 0 0 0 0 0 0 25.11 47816 35872 99% 2947 0 1.001242 
0 7 5 9 14 67 90 2 301 41 31 0.709687 0 0 0 0 0 0 0 0 0 0 0 62.64 73304 36224 99% 6980 0 1.037373 
0 8 9 9 1 55 62 26 188 49 70 1.382889 0 0 0 0 0 0 0 0 0 0 0 311.97 186480 36784 99% 31565 0 1.036059 
0 9 6 13 6 40 82 6 141 48 37 1.301231 0 0 0 0 0 0 0 0 0 0 0 87.94 93028 36432 99% 9154 0 1.109756 
0 10 12 13 0 62 95 19 144 42 52 0.184389 0 0 0 0 0 0 0 0 0 0 0 645.37 314916 37216 99% 64031 0 1.170758 
0 11 14 5 9 69 66 11 284 39 59 1.605369 0 0 0 0 0 0 0 0 0 0 0 163.62 125000 36536 99% 17282 0 1.073468 
0 12 4 4 1 25 90 6 152 46 80 0.704024 0 0 0 0 0 0 0 0 0 0 0 17.81 41520 35752 99% 2177 0 1.012972 
0 13 5 12 14 20 70 9 16 47 57 0.897691 0 0 0 0 0 0 0 0 0 0 0 90.57 101472 36040 99% 9517 0 1.115820 
0 14 6 4 4 46 71 12 183 41 53 0.057994 0 0 0 0 0 0 0 0 0 0 0 271.23 183208 36672 99% 27620 0 1.346675 
0 15 4 2 6 65 89 10 165 44 52 1.580846 0 0 0 0 0 0 0 0 0 0 0 219.07 161040 36752 99% 21924 0 1.302635 
0 16 4 5 14 52 74 10 13 45 69 0.752119 0 0 0 0 0 0 0 0 0 0 0 72.49 85776 36088 99% 7753 0 1.061014 
0 17 13 7 2 67 73 14 346 34 40 1.575520 0 0 0 0 0 0 0 0 0 0 0 747.87 356304 37592 99% 73744 0 1.671372 
0 18 9 13 6 30 64 2 149 30 76 0.371357 0 0 0 0 0 0 0 0 0 0 0 4.45 33356 35712 99% 680 0 1.001603 
0 19 2 4 10 46 82 20 254 32 94 1.545643 0 0 0 0 0 0 0 0 0 0 0 362.92 207556 38288 99% 37984 0 1.077687 
